First Name,Last Name,Email Address,Student ID,phone #
Joseph,Wilson,joseph.wilson@coloradocollege.edu,191002,2550238522
Rebecca,Roberts,rebecca.roberts@coloradocollege.edu,347718,5250090280
Amy,Anderson,amy.anderson@coloradocollege.edu,674655,3672479082
Elizabeth,Sanderson,elizabeth.sanderson@coloradocollege.edu,126024,4492017079
Faith,Ince,faith.ince@coloradocollege.edu,440681,6854999463
Yvonne,Marshall,yvonne.marshall@coloradocollege.edu,620656,9722762034
Anthony,Anderson,anthony.anderson@coloradocollege.edu,659971,3739323159
Molly,McGrath,molly.mcgrath@coloradocollege.edu,715106,9559153270
Peter,Allan,peter.allan@coloradocollege.edu,738467,6861688364
Nicholas,Miller,nicholas.miller@coloradocollege.edu,833245,2578563219
Alexander,Alsop,alexander.alsop@coloradocollege.edu,811512,8994668022
Emma,Mitchell,emma.mitchell@coloradocollege.edu,249231,5994998998
Anne,Murray,anne.murray@coloradocollege.edu,868878,7103744182
Grace,Walsh,grace.walsh@coloradocollege.edu,834435,1280964595
Una,Rampling,una.rampling@coloradocollege.edu,108192,4595475566
Joseph,Rampling,joseph.rampling@coloradocollege.edu,988522,1011052742
Richard,Gray,richard.gray@coloradocollege.edu,847134,7730925753
Leonard,Terry,leonard.terry@coloradocollege.edu,352598,2858709186
Sophie,May,sophie.may@coloradocollege.edu,608165,8471347978
John,Vaughan,john.vaughan@coloradocollege.edu,783240,3662510182
Brian,Springer,brian.springer@coloradocollege.edu,446588,2455253096
Emma,McLean,emma.mclean@coloradocollege.edu,796808,5262166976
Lucas,Underwood,lucas.underwood@coloradocollege.edu,714004,9512059658
Lucas,Hart,lucas.hart@coloradocollege.edu,117654,2779670354
Emily,Langdon,emily.langdon@coloradocollege.edu,286036,4623339924
Dominic,Taylor,dominic.taylor@coloradocollege.edu,619907,3093981733
Cameron,Ellison,cameron.ellison@coloradocollege.edu,316738,4034813712
Wendy,Vance,wendy.vance@coloradocollege.edu,282874,9778775738
Keith,Miller,keith.miller@coloradocollege.edu,903001,4834440132
Luke,Morgan,luke.morgan@coloradocollege.edu,464211,3232106176
John,Vance,john.vance@coloradocollege.edu,786167,7286219905
Benjamin,Carr,benjamin.carr@coloradocollege.edu,516934,8135422959
Peter,Clarkson,peter.clarkson@coloradocollege.edu,111679,3131242126
Stewart,Paterson,stewart.paterson@coloradocollege.edu,849459,1239050819
Ruth,Nolan,ruth.nolan@coloradocollege.edu,862555,9033968348
Anne,Wallace,anne.wallace@coloradocollege.edu,789550,9978304757
Amanda,Berry,amanda.berry@coloradocollege.edu,832344,7168638373
Christopher,Walker,christopher.walker@coloradocollege.edu,164705,2693515103
Paul,Sutherland,paul.sutherland@coloradocollege.edu,424880,9077441032
Wanda,Wright,wanda.wright@coloradocollege.edu,904040,1107434719
Sophie,Paterson,sophie.paterson@coloradocollege.edu,719465,8713852958
Katherine,Sanderson,katherine.sanderson@coloradocollege.edu,177623,1499796776
Christian,Rees,christian.rees@coloradocollege.edu,505117,1735821157
Yvonne,Carr,yvonne.carr@coloradocollege.edu,168724,5030158134
Christopher,Vaughan,christopher.vaughan@coloradocollege.edu,843628,7889320303
Joshua,McLean,joshua.mclean@coloradocollege.edu,465603,7538799811
Warren,Black,warren.black@coloradocollege.edu,610089,2088499195
Neil,Dowd,neil.dowd@coloradocollege.edu,886179,4837053697
Anna,Henderson,anna.henderson@coloradocollege.edu,841163,6502101210
Jane,Murray,jane.murray@coloradocollege.edu,407193,5736430103
William,McGrath,william.mcgrath@coloradocollege.edu,451484,8273033337
Sebastian,Vaughan,sebastian.vaughan@coloradocollege.edu,561498,4462110890
Dylan,Mitchell,dylan.mitchell@coloradocollege.edu,590323,5073697919
Cameron,Campbell,cameron.campbell@coloradocollege.edu,502054,9160131708
Mary,Manning,mary.manning@coloradocollege.edu,729618,8375300996
Pippa,Coleman,pippa.coleman@coloradocollege.edu,901018,7984272513
Dan,Berry,dan.berry@coloradocollege.edu,125717,8562676024
Rose,Turner,rose.turner@coloradocollege.edu,714271,5556087841
Irene,MacDonald,irene.macdonald@coloradocollege.edu,819863,6958414717
Nicola,Lee,nicola.lee@coloradocollege.edu,937159,8935893836
Jasmine,Slater,jasmine.slater@coloradocollege.edu,429219,1258436115
Claire,King,claire.king@coloradocollege.edu,260183,7032676726
Max,Kelly,max.kelly@coloradocollege.edu,567829,8194157011
Zoe,Quinn,zoe.quinn@coloradocollege.edu,406180,3741046886
Richard,Slater,richard.slater@coloradocollege.edu,568191,2766137714
Austin,Henderson,austin.henderson@coloradocollege.edu,673337,8581618912
Sarah,Turner,sarah.turner@coloradocollege.edu,677215,6511162830
Oliver,Edmunds,oliver.edmunds@coloradocollege.edu,693558,4310797665
Jack,Gibson,jack.gibson@coloradocollege.edu,367804,7384068305
Thomas,Vance,thomas.vance@coloradocollege.edu,350613,3884722076
Paul,Peters,paul.peters@coloradocollege.edu,621200,5409592605
Dominic,Rutherford,dominic.rutherford@coloradocollege.edu,393259,1115902988
Lauren,Fisher,lauren.fisher@coloradocollege.edu,659280,8352326111
Luke,Allan,luke.allan@coloradocollege.edu,890589,2997685108
Dominic,Murray,dominic.murray@coloradocollege.edu,266655,4959147464
Rebecca,Hunter,rebecca.hunter@coloradocollege.edu,103257,6558684948
Thomas,Ross,thomas.ross@coloradocollege.edu,478467,9814572818
Austin,Cameron,austin.cameron@coloradocollege.edu,974389,6746557035
Anna,Lawrence,anna.lawrence@coloradocollege.edu,163170,6160493545
Theresa,Rees,theresa.rees@coloradocollege.edu,430658,5413642865
Andrea,Vance,andrea.vance@coloradocollege.edu,579173,7934600127
Andrea,Short,andrea.short@coloradocollege.edu,662627,7916552325
Stewart,Jones,stewart.jones@coloradocollege.edu,613020,6765836167
Thomas,Kerr,thomas.kerr@coloradocollege.edu,141897,9065283849
