First_Name,Last_Name,Email_Address,Student_ID,phone
Joseph,Wilson,joseph.wilson@coloradocollege.edu,204487,9864370565
Rebecca,Roberts,rebecca.roberts@coloradocollege.edu,230039,5381399354
Amy,Anderson,amy.anderson@coloradocollege.edu,300365,2500804250
Elizabeth,Sanderson,elizabeth.sanderson@coloradocollege.edu,930876,8841242455
Faith,Ince,faith.ince@coloradocollege.edu,396995,1703183526
Yvonne,Marshall,yvonne.marshall@coloradocollege.edu,665306,9064570646
Anthony,Anderson,anthony.anderson@coloradocollege.edu,219269,5112836400
Molly,McGrath,molly.mcgrath@coloradocollege.edu,547197,7182181473
Peter,Allan,peter.allan@coloradocollege.edu,654495,3563525008
Nicholas,Miller,nicholas.miller@coloradocollege.edu,197640,4063873673
Alexander,Alsop,alexander.alsop@coloradocollege.edu,277250,7013376631
Emma,Mitchell,emma.mitchell@coloradocollege.edu,689327,1290472067
Anne,Murray,anne.murray@coloradocollege.edu,551583,8930892446
Grace,Walsh,grace.walsh@coloradocollege.edu,109826,7624670920
Una,Rampling,una.rampling@coloradocollege.edu,584296,7216806542
Joseph,Rampling,joseph.rampling@coloradocollege.edu,390957,2616523031
Richard,Gray,richard.gray@coloradocollege.edu,287111,3586242889
Leonard,Terry,leonard.terry@coloradocollege.edu,432635,7176768128
Sophie,May,sophie.may@coloradocollege.edu,789788,9083397302
John,Vaughan,john.vaughan@coloradocollege.edu,628944,5179361884
Brian,Springer,brian.springer@coloradocollege.edu,328832,7776995382
Emma,McLean,emma.mclean@coloradocollege.edu,543977,3120594129
Lucas,Underwood,lucas.underwood@coloradocollege.edu,401452,2201867695
Lucas,Hart,lucas.hart@coloradocollege.edu,935581,7039147869
Emily,Langdon,emily.langdon@coloradocollege.edu,390319,1625995584
Dominic,Taylor,dominic.taylor@coloradocollege.edu,266179,1663334547
Cameron,Ellison,cameron.ellison@coloradocollege.edu,740961,3640685895
Wendy,Vance,wendy.vance@coloradocollege.edu,866558,3342562566
Keith,Miller,keith.miller@coloradocollege.edu,569815,5581343097
Luke,Morgan,luke.morgan@coloradocollege.edu,199883,2945958805
John,Vance,john.vance@coloradocollege.edu,247804,2797721350
Benjamin,Carr,benjamin.carr@coloradocollege.edu,405463,9254286858
Peter,Clarkson,peter.clarkson@coloradocollege.edu,551805,1381010325
Stewart,Paterson,stewart.paterson@coloradocollege.edu,736295,4730643344
Ruth,Nolan,ruth.nolan@coloradocollege.edu,857229,4448034152
Anne,Wallace,anne.wallace@coloradocollege.edu,432632,3405101477
Amanda,Berry,amanda.berry@coloradocollege.edu,273747,6890984318
Christopher,Walker,christopher.walker@coloradocollege.edu,168556,2883679159
Paul,Sutherland,paul.sutherland@coloradocollege.edu,755521,3261030650
Wanda,Wright,wanda.wright@coloradocollege.edu,565244,1816950425
Sophie,Paterson,sophie.paterson@coloradocollege.edu,772900,7738236342
Katherine,Sanderson,katherine.sanderson@coloradocollege.edu,685783,6714909825
