First_Name,Last_Name,Email_Address,Student_ID,phone,iClass
Joseph,Wilson,joseph.wilson@coloradocollege.edu,204487,9864370565,25182
Rebecca,Roberts,rebecca.roberts@coloradocollege.edu,230039,5381399354,20864
Amy,Anderson,amy.anderson@coloradocollege.edu,300365,2500804250,23495
Elizabeth,Sanderson,elizabeth.sanderson@coloradocollege.edu,930876,8841242455,20767
Faith,Ince,faith.ince@coloradocollege.edu,396995,1703183526,24741
Yvonne,Marshall,yvonne.marshall@coloradocollege.edu,665306,9064570646,25730
Anthony,Anderson,anthony.anderson@coloradocollege.edu,219269,5112836400,21488
Molly,McGrath,molly.mcgrath@coloradocollege.edu,547197,7182181473,25739
Peter,Allan,peter.allan@coloradocollege.edu,654495,3563525008,27078
Nicholas,Miller,nicholas.miller@coloradocollege.edu,197640,4063873673,20917
Alexander,Alsop,alexander.alsop@coloradocollege.edu,277250,7013376631,27677
Emma,Mitchell,emma.mitchell@coloradocollege.edu,689327,1290472067,21880
Anne,Murray,anne.murray@coloradocollege.edu,551583,8930892446,26445
Grace,Walsh,grace.walsh@coloradocollege.edu,109826,7624670920,27338
Una,Rampling,una.rampling@coloradocollege.edu,584296,7216806542,28093
Joseph,Rampling,joseph.rampling@coloradocollege.edu,390957,2616523031,29901
Richard,Gray,richard.gray@coloradocollege.edu,287111,3586242889,23676
Leonard,Terry,leonard.terry@coloradocollege.edu,432635,7176768128,28186
Sophie,May,sophie.may@coloradocollege.edu,789788,9083397302,25781
John,Vaughan,john.vaughan@coloradocollege.edu,628944,5179361884,25423
Brian,Springer,brian.springer@coloradocollege.edu,328832,7776995382,21194
Emma,McLean,emma.mclean@coloradocollege.edu,543977,3120594129,21229
Lucas,Underwood,lucas.underwood@coloradocollege.edu,401452,2201867695,29639
Lucas,Hart,lucas.hart@coloradocollege.edu,935581,7039147869,24956
Emily,Langdon,emily.langdon@coloradocollege.edu,390319,1625995584,22010
Dominic,Taylor,dominic.taylor@coloradocollege.edu,266179,1663334547,21853
Cameron,Ellison,cameron.ellison@coloradocollege.edu,740961,3640685895,21566
Wendy,Vance,wendy.vance@coloradocollege.edu,866558,3342562566,21329
Keith,Miller,keith.miller@coloradocollege.edu,569815,5581343097,25906
Luke,Morgan,luke.morgan@coloradocollege.edu,199883,2945958805,28876
John,Vance,john.vance@coloradocollege.edu,247804,2797721350,21704
Benjamin,Carr,benjamin.carr@coloradocollege.edu,405463,9254286858,20931
Peter,Clarkson,peter.clarkson@coloradocollege.edu,551805,1381010325,25757
Stewart,Paterson,stewart.paterson@coloradocollege.edu,736295,4730643344,23475
Ruth,Nolan,ruth.nolan@coloradocollege.edu,857229,4448034152,24327
Anne,Wallace,anne.wallace@coloradocollege.edu,432632,3405101477,21675
Amanda,Berry,amanda.berry@coloradocollege.edu,273747,6890984318,26047
Christopher,Walker,christopher.walker@coloradocollege.edu,168556,2883679159,20652
Paul,Sutherland,paul.sutherland@coloradocollege.edu,755521,3261030650,25345
Wanda,Wright,wanda.wright@coloradocollege.edu,565244,1816950425,26087
Sophie,Paterson,sophie.paterson@coloradocollege.edu,772900,7738236342,28156
Katherine,Sanderson,katherine.sanderson@coloradocollege.edu,685783,6714909825,23775
Christian,Rees,christian.rees@coloradocollege.edu,519511,8424535238,25003
Yvonne,Carr,yvonne.carr@coloradocollege.edu,506515,8524605529,23651
Christopher,Vaughan,christopher.vaughan@coloradocollege.edu,296289,4419758850,25431
Joshua,McLean,joshua.mclean@coloradocollege.edu,819689,1599357452,26670
Warren,Black,warren.black@coloradocollege.edu,355700,3079878555,28902
Neil,Dowd,neil.dowd@coloradocollege.edu,219142,9779559725,29203
Anna,Henderson,anna.henderson@coloradocollege.edu,988172,9877466417,26358
Jane,Murray,jane.murray@coloradocollege.edu,166256,8236331667,25201
William,McGrath,william.mcgrath@coloradocollege.edu,625367,8441894095,21957
Sebastian,Vaughan,sebastian.vaughan@coloradocollege.edu,372841,3759001362,27376
Dylan,Mitchell,dylan.mitchell@coloradocollege.edu,992167,1971544799,27940
Cameron,Campbell,cameron.campbell@coloradocollege.edu,456569,1255534946,25319
Mary,Manning,mary.manning@coloradocollege.edu,199088,9859504332,25136
Pippa,Coleman,pippa.coleman@coloradocollege.edu,467991,3383797360,23487
Dan,Berry,dan.berry@coloradocollege.edu,775674,3981764238,23709
Rose,Turner,rose.turner@coloradocollege.edu,138629,8229615853,23751
Irene,MacDonald,irene.macdonald@coloradocollege.edu,843713,5081551660,21633
Nicola,Lee,nicola.lee@coloradocollege.edu,438097,6425397250,29385
Jasmine,Slater,jasmine.slater@coloradocollege.edu,416383,7313661401,24575
Claire,King,claire.king@coloradocollege.edu,479924,9055510330,20630
Max,Kelly,max.kelly@coloradocollege.edu,662639,3771119169,20066
Zoe,Quinn,zoe.quinn@coloradocollege.edu,174274,5653755601,20377
Richard,Slater,richard.slater@coloradocollege.edu,373686,6551614538,27302
Austin,Henderson,austin.henderson@coloradocollege.edu,993440,9092088031,27535
Sarah,Turner,sarah.turner@coloradocollege.edu,170720,7865792664,22810
